Dataset,GHO,PUBLISHSTATE,YEAR,REGION,WORLDBANKINCOMEGROUP,COUNTRY,Display,Numeric,Low,High,Comments
CYCU,WHS3_40,PUBLISHED,2011,EMR,,DJI,127.00,127,,,
CYCU,WHS3_56,PUBLISHED,2010,WPR,,NIU,0,0,,,
CYCU,WHS3_49,PUBLISHED,2011,WPR,WB_LMI,SLB,0,0,,,
CYCU,WHS3_48,PUBLISHED,2009,AFR,,COM,5982,,,,
CYCU,WHS3_52,PUBLISHED,2011,WPR,,CHN,1,1,,,
CYCU,WHS3_49,PUBLISHED,2011,WPR,WB_LMI,PHL,0,0,,,
CYCU,WHS3_49,PUBLISHED,2011,AFR,WB_LI,TCD,130,130,,,
CYCU,WHS3_43,PUBLISHED,2010,EMR,,YEM,2534,2534,,,
CYCU,WHS3_45,PUBLISHED,2009,WPR,WB_HI,JPN,2,2,,,
CYCU,WHS3_45,PUBLISHED,2010,EUR,WB_UMI,RUS,0,0,,,
CYCU,WHS3_50,PUBLISHED,2011,AFR,,COD,195.00,195,,,
CYCU,WHS3_46,PUBLISHED,2009,AFR,WB_LMI,AGO,675,,,,
CYCU,WHS3_62,PUBLISHED,2011,AMR,,ARG,3.00,3,,,
CYCU,WHS3_46,PUBLISHED,2009,AMR,WB_UMI,PER,19,,,,
CYCU,WHS3_43,PUBLISHED,2011,SEAR,,IND,35217.00,35217,,,
CYCU,TB_tot_newrel,PUBLISHED,2009,EUR,WB_LI,KGZ,5765,5765,,,
CYCU,WHS3_56,PUBLISHED,2011,AFR,,SEN,21.00,21,,,
CYCU,WHS3_45,PUBLISHED,2010,AFR,WB_LI,UGA,342,342,,,
CYCU,WHS3_56,PUBLISHED,2010,EUR,,TUR,2,2,,,
CYCU,WHS3_55,PUBLISHED,2009,EMR,WB_LMI,JOR,0,,,,
CYCU,WHS3_57,PUBLISHED,2010,EUR,,CYP,0,0,,,
CYCU,WHS3_55,PUBLISHED,2011,EUR,,CYP,0.00,0,,,
